index,x,y,z,B_x,B_y,B_z
16,-1.8000000000000007,-87.25,-5.779999999999973,-0.294066,-0.409738,-2.16998
17,-1.8000000000000007,-87.25,34.22000000000003,-0.223392,-0.371954,-2.23338
18,-1.8000000000000007,-87.25,74.22000000000003,-0.1302378,-0.328646,-2.28106
19,-1.8000000000000007,-87.25,114.22000000000003,-0.045573800000000005,-0.285238,-2.31272
20,-1.8000000000000007,-127.25,-45.78,-0.342482,-0.473566,-2.11498
21,-1.8000000000000007,-127.25,-5.779999999999973,-0.300526,-0.43175,-2.20706
22,-1.8000000000000007,-127.25,34.22000000000003,-0.239144,-0.385796,-2.2763400000000003
23,-1.8000000000000007,-127.25,74.22000000000003,-0.155824,-0.33814,-2.32648
24,-1.8000000000000007,-127.25,114.22000000000003,-0.0674224,-0.286346,-2.3584400000000003
25,-1.8000000000000007,-167.25,-45.78,-0.3354,-0.507636,-2.15586
26,-1.8000000000000007,-167.25,-5.779999999999973,-0.306802,-0.455472,-2.25462
27,-1.8000000000000007,-167.25,34.22000000000003,-0.257424,-0.401432,-2.32702
28,-1.8000000000000007,-167.25,74.22000000000003,-0.1807382,-0.340982,-2.3782400000000004
29,-1.8000000000000007,-167.25,114.22000000000003,-0.0969746,-0.283862,-2.40808
30,-1.8000000000000007,-327.25,-45.78,-0.7407199999999999,-0.699156,-2.49384
31,-1.8000000000000007,-327.25,-5.779999999999973,-0.642736,-0.503174,-2.6891
32,-1.8000000000000007,-327.25,34.22000000000003,-0.544818,-0.30148,-2.72534
33,-1.8000000000000007,-327.25,74.22000000000003,-0.441598,-0.1625406,-2.70088
34,-1.8000000000000007,-327.25,114.22000000000003,-0.33217800000000003,-0.0743326,-2.65596
35,18.2,-327.25,-45.78,-0.5826439999999999,-0.53943,-2.4902
36,18.2,-327.25,-5.779999999999973,-0.5492319999999999,-0.390396,-2.64526
37,18.2,-327.25,34.22000000000003,-0.4723100000000001,-0.23109,-2.678
38,18.2,-327.25,74.22000000000003,-0.369604,-0.10925619999999997,-2.64858
39,18.2,-327.25,114.22000000000003,-0.274566,-0.0350704,-2.59722
40,18.2,-167.25,-45.78,-0.284806,-0.5089819999999999,-2.15572
