cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
95,1565397079,1565397083,152.05,13.870000000000005,47.25,0.641152,0.0022666870000000003,2.31888,0.000491935,0.395122,0.0006924380000000001
96,1565397144,1565397148,152.05,-146.13,7.25,0.8291200000000001,0.001192854,1.5276100000000001,0.00052345,-0.1519616,8.350299999999999e-05
97,1565397153,1565397157,152.05,-106.13000000000001,7.25,0.8734219999999999,0.00010059799999999999,1.9005759999999998,5.5946e-05,0.0561616,0.000320323
98,1565397164,1565397168,152.05,-66.13000000000001,7.25,0.8174,0.0005294340000000001,2.0846400000000003,0.000151658,0.1816876,0.000257081
99,1565397173,1565397177,152.05,-26.129999999999995,7.25,0.723938,0.001970005,2.22598,0.00055857,0.253734,0.000447415
100,1565397182,1565397186,152.05,13.870000000000005,7.25,0.619734,0.001095915,2.3479,0.00022360700000000002,0.29006,0.000933702
101,1565397233,1565397237,152.05,-146.13,-32.75,0.813292,0.000768778,1.94938,0.000294958,-0.5654,0.000565862
102,1565397247,1565397251,152.05,-106.13000000000001,-32.75,0.845658,0.000600058,2.1196,0.000212132,-0.12876980000000002,0.00023616700000000002
103,1565397257,1565397261,152.05,-66.13000000000001,-32.75,0.796214,0.000263685,2.1943200000000003,8.366600000000001e-05,0.0474992,6.7725e-05
104,1565397267,1565397271,152.05,-26.129999999999995,-32.75,0.7106859999999999,0.002987236,2.2857,0.0007874010000000001,0.1210904,0.000382635
105,1565397277,1565397281,152.05,13.870000000000005,-32.75,0.61447,0.001398535,2.3872,7.071100000000001e-05,0.16990539999999998,0.000335897
106,1565397320,1565397324,152.05,-146.13,-72.75,0.779118,0.001994009,2.73944,0.000650385,-0.749658,0.002313703
107,1565397333,1565397337,152.05,-106.13000000000001,-72.75,0.8312459999999999,0.001860707,2.39958,0.000895545,-0.218036,0.002232169
108,1565397343,1565397347,152.05,-66.13000000000001,-72.75,0.807754,0.00024562200000000003,2.2892799999999998,0.000130384,-0.09152180000000001,0.001152754
109,1565397353,1565397357,152.05,-26.129999999999995,-72.75,0.740732,0.00180335,2.3395599999999996,0.000497996,-0.056629,0.000652096
110,1565397362,1565397366,152.05,13.870000000000005,-72.75,0.633914,0.002094154,2.4546200000000002,0.000465833,0.0054562,0.001338397
